Department,Revenue,COGS,Shipping,Salary,Taxes,Type,Date
Sales,462937,112292,11233,50000,16382,BUDGET,10/9/2023
Sales,406569,224016,14510,50000,29063,BUDGET,29/9/2024
Sales,107543,224197,21984,50000,24250,BUDGET,29/8/2024
Sales,224046,111629,11809,50000,11783,BUDGET,2/12/2021
Sales,287628,208427,10622,50000,15998,BUDGET,22/12/2022
Sales,465835,73574,19231,50000,13996,BUDGET,22/2/2024
Sales,310706,249938,21616,50000,33071,BUDGET,28/7/2022
Sales,194476,67640,9632,50000,32965,BUDGET,9/6/2022
Sales,333841,102528,11288,50000,7079,BUDGET,16/6/2022
Sales,397921,270411,23977,50000,8368,BUDGET,27/5/2021
Sales,325913,59337,15167,50000,39249,BUDGET,3/11/2022
Sales,488318,64388,8756,50000,16344,BUDGET,18/9/2025
Sales,136631,238926,28061,50000,32632,BUDGET,20/4/2021
Sales,453824,241172,13512,50000,46196,BUDGET,16/1/2024
Sales,289407,211426,22680,50000,46949,BUDGET,10/5/2022
Sales,160692,144074,22449,50000,16555,BUDGET,10/9/2024
Sales,494366,271541,20913,50000,43565,BUDGET,27/9/2022
Sales,296489,292926,9208,50000,39177,BUDGET,23/8/2023
Sales,319798,65254,6248,50000,26792,BUDGET,11/12/2024
Sales,383821,74071,5814,50000,21774,BUDGET,31/12/2025
Sales,388790,106570,18703,50000,36419,BUDGET,5/7/2023
Sales,493002,236201,15453,50000,24256,BUDGET,21/7/2021
Sales,320184,93088,9612,50000,28051,BUDGET,18/6/2025
Sales,303339,198216,10779,50000,42641,BUDGET,12/11/2025
Sales,372791,190507,18568,50000,36880,BUDGET,8/9/2021
HR,427535.72,247867.78,24266.21,45000,17321.57,ACTUAL,22/4/2022
HR,165858.61,160565,10908.58,45000,11998.68,ACTUAL,11/8/2023
HR,339936.61,208460.71,29415.57,45000,10913.48,ACTUAL,1/1/2021
HR,276597.78,188591.37,14329.98,45000,4555.54,ACTUAL,9/7/2021
HR,295358.62,248370.71,26583.32,45000,5339.01,ACTUAL,25/7/2025
HR,321865.78,155013.27,19556.59,45000,20302.63,ACTUAL,17/3/2023
HR,296538.34,203195.59,29542.39,45000,3756.79,ACTUAL,26/4/2021
HR,492397.07,85291.68,39998.98,45000,51004.39,ACTUAL,29/4/2024
HR,411512.74,115898.75,39862.99,45000,52247.38,ACTUAL,10/2/2025
HR,247582.15,62647.78,22623.29,45000,27575.33,ACTUAL,9/1/2023
HR,385936.66,154276.02,33315.24,45000,35092.29,ACTUAL,30/6/2025
HR,365019.25,273294.06,27161.83,45000,3832.93,ACTUAL,29/5/2023
HR,340798.68,116826.57,23525.73,45000,23693.01,ACTUAL,8/11/2021
HR,251359.98,296256.61,25089.93,45000,17455.04,ACTUAL,24/11/2025
HR,337836.33,90775.52,24314.16,45000,39286.33,ACTUAL,23/9/2024
HR,110963.34,264468.21,6462.59,45000,33333.14,ACTUAL,22/2/2025
HR,143837.12,205293.5,11551.94,45000,22856.45,ACTUAL,26/2/2022
HR,202878.65,78649.18,13654.74,45000,11056.56,ACTUAL,8/1/2022
HR,181883.56,174270.66,16357.83,45000,12801.65,ACTUAL,29/6/2024
HR,111462.03,238439.42,10006.22,45000,38280.03,ACTUAL,27/3/2021
HR,420150.03,212030.24,21447.5,45000,33916.2,ACTUAL,30/3/2024
HR,391033.24,143478.64,36014.81,45000,30547.37,ACTUAL,15/5/2021
HR,382784.29,257323.05,33706.48,45000,8434.31,ACTUAL,31/5/2025
HR,351717.63,259564.37,32733.83,45000,3189.6,ACTUAL,23/11/2024
HR,116665.47,169631.53,7228.48,45000,24605.41,ACTUAL,3/9/2022
HR,242282.33,275427.95,20066.77,45000,23475.3,ACTUAL,11/8/2024
HR,276597.78,283952.13,30387.98,45000,20857.48,ACTUAL,4/2/2024
HR,292404.93,272678.36,21741.21,45000,9386.29,ACTUAL,20/2/2022
HR,233224.05,224927.78,15447.31,45000,11923.18,ACTUAL,11/6/2023
HR,283185.1,296520.44,25855.76,45000,13870.08,ACTUAL,20/6/2021
HR,282794.24,221362.63,27833.86,45000,1899.56,ACTUAL,23/6/2024
HR,294731.83,326499.58,26261.02,45000,18835.65,ACTUAL,27/6/2021
HR,242479.48,59168,21391.21,45000,19900.01,ACTUAL,17/3/2024
HR,306630.17,84408.42,28792.18,45000,34609.28,ACTUAL,14/11/2021
HR,114461.24,283121.41,10392.78,45000,37501.12,ACTUAL,17/11/2024
HR,330999.89,256838.81,22645.52,45000,1604.66,ACTUAL,30/11/2025
HR,186278.32,224136.58,11199.8,45000,22743.96,ACTUAL,12/10/2025
HR,140628.29,96263.85,7500.07,45000,1889.18,ACTUAL,29/10/2023
HR,195641.12,75626.06,19203.3,45000,8690.2,ACTUAL,28/4/2022
HR,195662.54,191895.54,13854.41,45000,13001.4,ACTUAL,2/2/2023
HR,410625.38,84275.97,40651.3,45000,40009.64,ACTUAL,11/7/2024
HR,202206.68,78652.07,13175.06,45000,11249.28,ACTUAL,15/7/2021
HR,198623.08,218022.19,14514.95,45000,19241.65,ACTUAL,12/6/2025
HR,276597.78,228975.23,9320.94,45000,24605.41,ACTUAL,29/6/2023
HR,224384.53,110309.81,20394.15,45000,10643.17,ACTUAL,13/3/2025
HR,136119.15,99097.21,12078.08,45000,3846.29,ACTUAL,30/5/2024
HR,99844.26,285291.44,6624.33,45000,42488.39,ACTUAL,30/10/2025
HR,130483.12,280720.83,9441.78,45000,46782.6,ACTUAL,2/9/2021
HR,400821.21,62658.95,22473.74,45000,55766.39,ACTUAL,15/9/2022
HR,457812.09,195286.15,41238.27,45000,38237.19,ACTUAL,11/4/2023
HR,229339.41,288970.25,16087.93,45000,23294.58,ACTUAL,21/12/2021
HR,305621.48,175399.9,17306.19,45000,11093.84,ACTUAL,1/2/2022
HR,317329.16,93582.21,17422.68,45000,37207.89,ACTUAL,23/5/2023
HR,163690.37,89144.21,14874.95,45000,2239.12,ACTUAL,2/11/2021
HR,231545.59,67662.73,21845.46,45000,19351.32,ACTUAL,29/10/2024
HR,262812.65,51166.71,19916.99,45000,28023.83,ACTUAL,14/9/2021
HR,126409.34,129696.45,8246.18,45000,13797.96,ACTUAL,8/12/2021
HR,104882.47,216807.22,8354.12,45000,29444.78,ACTUAL,24/12/2025
HR,305058.43,235192.98,15545.66,45000,1461.03,ACTUAL,15/2/2023
HR,394162.54,97379.63,23965.83,45000,51867.36,ACTUAL,22/6/2022
HR,297512.66,78851.33,21575.19,45000,23799.25,ACTUAL,3/3/2021
HR,177044.3,239857.65,10742.26,45000,18608.98,ACTUAL,19/3/2025
HR,358235.87,267202.75,33035.74,45000,2615.73,ACTUAL,17/5/2023
HR,182334.6,148852.08,13786.52,45000,4311.21,ACTUAL,22/11/2023
HR,126174.31,56492.33,11955.76,45000,2542.46,ACTUAL,11/10/2023
HR,342151.21,211110.42,19098.31,45000,12280.67,ACTUAL,27/10/2021
HR,401444.41,53160.87,35346.99,45000,51512.1,ACTUAL,24/9/2025
IT,374077.61,184596.27,20240.81,60000,23533.61,ACTUAL,5/4/2024
IT,293986.9,81389.48,21310.88,60000,21190.91,ACTUAL,16/12/2022
IT,257389.02,250122.8,15455.36,60000,14239.27,ACTUAL,12/2/2021
IT,278032.43,60136.14,15732.87,60000,30937.28,ACTUAL,28/2/2025
IT,399601.04,147139.94,25830.65,60000,32117.85,ACTUAL,5/7/2024
IT,403053.68,151265.61,35887.13,60000,37516.59,ACTUAL,22/7/2022
IT,160573.43,133223.08,14499.18,60000,9515.01,ACTUAL,26/11/2021
IT,199508.55,104510.67,13645.79,60000,5035.55,ACTUAL,24/10/2025
IT,404395.43,223375.13,36678.06,60000,14814.97,ACTUAL,28/10/2022
IT,437663.72,219727.72,35827.18,60000,29418.7,ACTUAL,29/9/2023
IT,405832.17,64707.44,36763.72,60000,54232.35,ACTUAL,5/8/2024
IT,169259.21,101815.85,13676.02,60000,1221.82,ACTUAL,18/8/2025
IT,340970.09,53783.75,18494.08,60000,47850.1,ACTUAL,11/12/2023
IT,286858.04,261179.39,23668.67,60000,11525.93,ACTUAL,4/7/2022
IT,415359.04,85218.57,21639.19,60000,53046.85,ACTUAL,17/6/2024
IT,241277.41,155399.68,18422.03,60000,1464.25,ACTUAL,21/11/2022
IT,465434.02,180368.38,42840.21,60000,41401.85,ACTUAL,4/9/2023
IT,122797.29,140486.24,8321.88,60000,17603.39,ACTUAL,30/8/2025
IT,250089.7,143673.36,21613.89,60000,5577.64,ACTUAL,4/1/2025
IT,245429.29,304869.39,21711.96,60000,28560.58,ACTUAL,21/1/2023
IT,254364.54,69881,21732.2,60000,19872.31,ACTUAL,3/7/2021
IT,157524.53,148600.21,8359.43,60000,9287.65,ACTUAL,16/7/2022
IT,421115.3,111928.74,41171.07,60000,49462.55,ACTUAL,29/7/2023
IT,483417.64,304225.32,41993.45,60000,13134.34,ACTUAL,17/6/2023
IT,138520.62,87028.35,8350.63,60000,3883.5,ACTUAL,11/5/2024
IT,289975.88,192491.57,45483,60000,39107.19,ACTUAL,22/10/2022
IT,174097.97,195090.75,15083.86,60000,16594.16,ACTUAL,6/4/2025
IT,145103.79,73235.53,14053,60000,531.57,ACTUAL,8/8/2021
IT,221328.35,161812.59,13147.18,60000,3223.24,ACTUAL,24/8/2025
IT,293093.72,238420.99,29189.35,60000,17670.545,ACTUAL,6/7/2025
IT,197774.98,84407.9,10504.74,60000,7544.45,ACTUAL,9/10/2022
IT,302454.72,221333,28524.44,60000,17670.545,ACTUAL,18/12/2025
IT,507024.16,151545.56,38935.09,60000,50820.57,ACTUAL,18/2/2021
IT,197443.2,113545.41,11623.77,60000,2273.61,ACTUAL,23/1/2025
IT,398043.98,248583.72,23962.96,60000,13495.33,ACTUAL,31/7/2025
IT,214060.43,193882.97,12296.57,60000,12564.72,ACTUAL,6/11/2025
IT,128252.24,179008.61,8045.72,60000,29522.2,ACTUAL,29/8/2023
IT,244051.13,145191.11,24218.04,60000,2886.35,ACTUAL,4/2/2025
IT,324504.01,297130.06,22068.49,60000,12227.86,ACTUAL,27/7/2021
IT,387488.27,168898.69,33867.89,60000,25286.07,ACTUAL,30/7/2024
IT,456457.47,107394.1,36963.65,60000,39462.84,ACTUAL,28/6/2022
IT,187329.8,81336.05,16449.09,60000,6145.24,ACTUAL,9/3/2021
IT,146246.72,203847.16,11011.3,60000,21540.94,ACTUAL,25/3/2025
IT,418131.29,227878.23,35308.79,60000,17140.39,ACTUAL,13/5/2025
IT,508764.97,122356.81,41634.01,60000,45719.74,ACTUAL,17/10/2023
IT,334290.64,197503.33,23936.49,60000,10785.76,ACTUAL,17/9/2024
IT,128024.63,206722.69,6773.55,60000,29565.95,ACTUAL,3/8/2022
IT,381419.57,322803.24,29656.99,60000,5000.62,ACTUAL,6/8/2025
IT,424174.67,83726,22484.28,60000,17670.545,ACTUAL,13/1/2021
IT,415008.67,106067,32059.98,60000,50781.71,ACTUAL,29/1/2025
IT,93713.63,309255.33,7505.91,60000,42813.99,ACTUAL,17/7/2024
IT,168179.62,75856.23,9158.43,60000,5301.57,ACTUAL,2/6/2021
IT,180165.08,73493.6,14808.71,60000,7915.06,ACTUAL,5/6/2024
IT,111627.55,80838.93,6927.61,60000,8838.51,ACTUAL,29/3/2023
IT,390735.29,97746.6,25519.97,60000,35230.21,ACTUAL,9/11/2022
IT,351352.52,182523.85,21036.71,60000,16309.98,ACTUAL,23/10/2024
Marketing,230918.37,302344.65,22251.04,55000,32359.14,ACTUAL,2/4/2021
Marketing,409030.79,108327.76,30186.84,55000,37901.13,ACTUAL,23/6/2023
Marketing,489032.23,222840.83,45270.32,55000,34640.49,ACTUAL,8/10/2021
Marketing,119667.32,126552.14,7423.52,55000,16090.88,ACTUAL,11/10/2024
Marketing,134598.01,180172.99,13187.76,55000,22323.61,ACTUAL,17/4/2023
Marketing,134681.2,175112.24,11414.47,55000,25641.14,ACTUAL,22/8/2022
Marketing,298713.09,77220.89,17527.36,55000,35345.34,ACTUAL,27/12/2021
Marketing,372064.33,244061.45,34639.46,55000,6063.73,ACTUAL,7/2/2022
Marketing,88975.21,134277.47,6020.29,55000,17627.8,ACTUAL,22/1/2024
Marketing,280816.06,188127.58,18204.4,55000,4278.51,ACTUAL,29/1/2024
Marketing,160677.95,198008.53,15481.33,55000,17002.57,ACTUAL,3/5/2021
Marketing,447039.12,92733.53,36787.09,55000,61120.85,ACTUAL,4/11/2024
Marketing,333423.32,183657.87,31998.5,55000,14686.23,ACTUAL,20/9/2021
Marketing,104332.59,193289.74,9841.72,55000,28445.2,ACTUAL,10/12/2022
Marketing,383255.33,307601.52,34182.39,55000,2543.91,ACTUAL,6/9/2025
Marketing,319000.63,269799.87,21812.22,55000,6216.38,ACTUAL,3/4/2022
Marketing,191334.59,242175.75,14233.9,55000,22955.54,ACTUAL,23/4/2023
Marketing,156130.73,94461.55,15010.07,55000,1858.3,ACTUAL,13/2/2022
Marketing,237979.85,77527.66,20168.21,55000,19972.94,ACTUAL,2/1/2022
Marketing,243299.56,308790.83,14297.53,55000,30923.21,ACTUAL,31/1/2021
Marketing,321327.47,213838.34,26749.09,55000,5304.15,ACTUAL,21/3/2021
Marketing,184017.45,244333.11,12715.05,55000,30502.25,ACTUAL,5/5/2024
Marketing,332823.36,85006.76,24911.22,55000,31630.57,ACTUAL,26/9/2021
Marketing,174548.59,280312.66,13164.11,55000,37270.76,ACTUAL,24/4/2025
