Department,Date,Budget_Revenue,Actual_Revenue,Budget_COGS,Actual_COGS,Budget_Shipping,Actual_Shipping,Budget_Salary,Actual_Salary,Budget_Taxes,Actual_Taxes
HR,11/6/2023,221172,233224.05,246617,224927.78,10560,15447.31,45000,45000,25079,11923.18
HR,20/6/2021,330785,283185.1,298683,296520.44,28624,25855.76,45000,45000,16053,13870.08
HR,23/6/2024,307869,282794.24,226615,221362.63,13007,27833.86,45000,45000,13646,1899.56
HR,27/6/2021,276089,294731.83,284677,326499.58,28321,26261.02,45000,45000,27116,18835.65
HR,17/3/2024,251836,242479.48,54809,59168,22988,21391.21,45000,45000,43243,19900.01
HR,14/11/2021,337549,306630.17,89298,84408.42,16479,28792.18,45000,45000,13070,34609.28
HR,17/11/2024,117955,114461.24,269536,283121.41,23574,10392.78,45000,45000,7711,37501.12
HR,30/11/2025,313945,330999.89,261791,256838.81,16111,22645.52,45000,45000,46360,1604.66
HR,12/10/2025,174460,186278.32,217658,224136.58,7674,11199.8,45000,45000,10319,22743.96
HR,29/10/2023,151991,140628.29,96540,96263.85,23410,7500.07,45000,45000,34975,1889.18
HR,28/4/2022,187235,195641.12,71732,75626.06,6062,19203.3,45000,45000,14984,8690.2
HR,2/2/2023,213429,195662.54,171790,191895.54,25119,13854.41,45000,45000,11722,13001.4
HR,11/7/2024,382502,410625.38,86187,84275.97,28325,40651.3,45000,45000,40737,40009.64
HR,15/7/2021,205864,202206.68,75289,78652.07,10240,13175.06,45000,45000,6645,11249.28
HR,12/6/2025,202795,198623.08,233401,218022.19,24029,14514.95,45000,45000,28393,19241.65
HR,29/6/2023,159101,276597.78,204865,228975.23,15954,9320.94,45000,45000,18859,24605.41
HR,13/3/2025,219180,224384.53,105393,110309.81,20374,20394.15,45000,45000,40111,10643.17
HR,30/5/2024,125351,136119.15,107091,99097.21,8391,12078.08,45000,45000,22029,3846.29
HR,30/10/2025,106801,99844.26,297666,285291.44,5793,6624.33,45000,45000,30064,42488.39
HR,2/9/2021,129592,130483.12,267841,280720.83,9432,9441.78,45000,45000,14524,46782.6
HR,15/9/2022,368093,400821.21,61023,62658.95,28275,22473.74,45000,45000,31737,55766.39
HR,11/4/2023,440976,457812.09,172402,195286.15,13659,41238.27,45000,45000,23922,38237.19
HR,21/12/2021,224862,229339.41,280907,288970.25,18623,16087.93,45000,45000,18490,23294.58
HR,1/2/2022,281372,305621.48,164821,175399.9,10870,17306.19,45000,45000,9757,11093.84
HR,23/5/2023,339833,317329.16,100990,93582.21,23935,17422.68,45000,45000,9425,37207.89
HR,2/11/2021,177575,163690.37,92918,89144.21,13150,14874.95,45000,45000,12973,2239.12
HR,29/10/2024,258823,231545.59,74285,67662.73,10984,21845.46,45000,45000,36463,19351.32
HR,14/9/2021,239788,262812.65,53709,51166.71,19178,19916.99,45000,45000,44224,28023.83
HR,8/12/2021,132097,126409.34,116040,129696.45,9621,8246.18,45000,45000,46914,13797.96
HR,24/12/2025,101542,104882.47,203487,216807.22,27550,8354.12,45000,45000,33921,29444.78
HR,15/2/2023,290710,305058.43,219160,235192.98,29818,15545.66,45000,45000,29160,1461.03
HR,22/6/2022,379163,394162.54,88413,97379.63,8596,23965.83,45000,45000,7717,51867.36
HR,3/3/2021,281408,297512.66,76962,78851.33,16314,21575.19,45000,45000,38595,23799.25
HR,19/3/2025,166234,177044.3,254625,239857.65,27126,10742.26,45000,45000,42904,18608.98
HR,17/5/2023,406063,358235.87,251412,267202.75,18917,33035.74,45000,45000,11150,2615.73
HR,22/11/2023,194704,182334.6,155570,148852.08,5009,13786.52,45000,45000,25607,4311.21
HR,11/10/2023,116364,126174.31,56970,56492.33,6917,11955.76,45000,45000,12083,2542.46
HR,27/10/2021,364512,342151.21,223416,211110.42,13717,19098.31,45000,45000,48082,12280.67
HR,24/9/2025,465177,401444.41,55569,53160.87,25609,35346.99,45000,45000,6750,51512.1
IT,5/4/2024,365517,374077.61,194528,184596.27,15161,20240.81,60000,60000,44952,23533.61
IT,16/12/2022,276615,293986.9,83307,81389.48,6605,21310.88,60000,60000,49039,21190.91
IT,12/2/2021,241564,257389.02,264532,250122.8,22055,15455.36,60000,60000,22368,14239.27
IT,28/2/2025,278031,278032.43,56949,60136.14,26951,15732.87,60000,60000,39888,30937.28
IT,5/7/2024,419602,399601.04,142193,147139.94,27797,25830.65,60000,60000,16664,32117.85
IT,22/7/2022,444894,403053.68,156357,151265.61,13258,35887.13,60000,60000,12311,37516.59
IT,26/11/2021,187922,160573.43,130219,133223.08,21748,14499.18,60000,60000,41368,9515.01
IT,24/10/2025,189930,199508.55,95002,104510.67,15147,13645.79,60000,60000,16918,5035.55
IT,28/10/2022,428761,404395.43,210775,223375.13,6761,36678.06,60000,60000,42641,14814.97
IT,29/9/2023,404119,437663.72,243752,219727.72,14765,35827.18,60000,60000,18221,29418.7
IT,5/8/2024,400657,405832.17,64489,64707.44,28930,36763.72,60000,60000,41397,54232.35
IT,18/8/2025,189780,169259.21,105123,101815.85,8228,13676.02,60000,60000,49623,1221.82
IT,11/12/2023,319295,340970.09,50404,53783.75,14865,18494.08,60000,60000,40954,47850.1
IT,4/7/2022,322866,286858.04,233808,261179.39,11168,23668.67,60000,60000,25908,11525.93
IT,17/6/2024,437497,415359.04,87744,85218.57,26852,21639.19,60000,60000,35987,53046.85
IT,21/11/2022,277247,241277.41,152023,155399.68,19277,18422.03,60000,60000,45411,1464.25
IT,4/9/2023,472370,465434.02,178778,180368.38,7048,42840.21,60000,60000,42334,41401.85
IT,30/8/2025,121689,122797.29,152468,140486.24,19382,8321.88,60000,60000,5338,17603.39
IT,4/1/2025,251222,250089.7,127709,143673.36,23381,21613.89,60000,60000,36987,5577.64
IT,21/1/2023,240734,245429.29,285418,304869.39,15589,21711.96,60000,60000,24694,28560.58
IT,3/7/2021,297392,254364.54,76790,69881,15488,21732.2,60000,60000,41244,19872.31
IT,16/7/2022,173847,157524.53,160133,148600.21,12561,8359.43,60000,60000,29861,9287.65
IT,29/7/2023,460260,421115.3,111813,111928.74,11469,41171.07,60000,60000,27419,49462.55
IT,17/6/2023,456902,483417.64,265863,304225.32,25673,41993.45,60000,60000,41220,13134.34
IT,11/5/2024,127350,138520.62,95106,87028.35,13162,8350.63,60000,60000,21725,3883.5
IT,22/10/2022,478496,289975.88,169156,192491.57,20679,45483,60000,60000,18087,39107.19
IT,6/4/2025,179459,174097.97,204458,195090.75,14446,15083.86,60000,60000,14130,16594.16
IT,8/8/2021,154748,145103.79,65485,73235.53,17394,14053,60000,60000,42430,531.57
IT,24/8/2025,252617,221328.35,175911,161812.59,25103,13147.18,60000,60000,29791,3223.24
IT,6/7/2025,337027,293093.72,220883,238420.99,16104,29189.35,60000,60000,11960,17670.545
IT,9/10/2022,200235,197774.98,73959,84407.9,24123,10504.74,60000,60000,17342,7544.45
IT,18/12/2025,308124,302454.72,192709,221333,17999,28524.44,60000,60000,24541,17670.545
IT,18/2/2021,477812,507024.16,138092,151545.56,15161,38935.09,60000,60000,20328,50820.57
IT,23/1/2025,212856,197443.2,103682,113545.41,16302,11623.77,60000,60000,29058,2273.61
IT,31/7/2025,389336,398043.98,268441,248583.72,11371,23962.96,60000,60000,33470,13495.33
IT,6/11/2025,203150,214060.43,187326,193882.97,7116,12296.57,60000,60000,32935,12564.72
IT,29/8/2023,123289,128252.24,162816,179008.61,11283,8045.72,60000,60000,34378,29522.2
IT,4/2/2025,286141,244051.13,131317,145191.11,13389,24218.04,60000,60000,5481,2886.35
IT,27/7/2021,309141,324504.01,274786,297130.06,15478,22068.49,60000,60000,40840,12227.86
IT,30/7/2024,451732,387488.27,174454,168898.69,24282,33867.89,60000,60000,34373,25286.07
IT,28/6/2022,445757,456457.47,102638,107394.1,16475,36963.65,60000,60000,32952,39462.84
IT,9/3/2021,218015,187329.8,78295,81336.05,28954,16449.09,60000,60000,32306,6145.24
IT,25/3/2025,139954,146246.72,188013,203847.16,10788,11011.3,60000,60000,39008,21540.94
IT,13/5/2025,416242,418131.29,237872,227878.23,16260,35308.79,60000,60000,25587,17140.39
IT,17/10/2023,497827,508764.97,122474,122356.81,25618,41634.01,60000,60000,48861,45719.74
IT,17/9/2024,320156,334290.64,213121,197503.33,23520,23936.49,60000,60000,26874,10785.76
IT,3/8/2022,128251,128024.63,200159,206722.69,11371,6773.55,60000,60000,28570,29565.95
IT,6/8/2025,363206,381419.57,298592,322803.24,11359,29656.99,60000,60000,25491,5000.62
IT,13/1/2021,458896,424174.67,89081,83726,13472,22484.28,60000,60000,7443,17670.545
IT,29/1/2025,430594,415008.67,109494,106067,6970,32059.98,60000,60000,43890,50781.71
IT,17/7/2024,103267,93713.63,293806,309255.33,26204,7505.91,60000,60000,40796,42813.99
IT,2/6/2021,156958,168179.62,69870,75856.23,15160,9158.43,60000,60000,8797,5301.57
IT,5/6/2024,188668,180165.08,71949,73493.6,16157,14808.71,60000,60000,34402,7915.06
IT,29/3/2023,109435,111627.55,77532,80838.93,21389,6927.61,60000,60000,36821,8838.51
IT,9/11/2022,291766.5,390735.29,96427,97746.6,15554,25519.97,60000,60000,15093,35230.21
IT,23/10/2024,409439,351352.52,175917,182523.85,11565,21036.71,60000,60000,16046,16309.98
Marketing,2/4/2021,265656,230918.37,264357,302344.65,17891,22251.04,55000,55000,20343,32359.14
Marketing,23/6/2023,418717,409030.79,108141,108327.76,5846,30186.84,55000,55000,46874,37901.13
Marketing,8/10/2021,472771,489032.23,238871,222840.83,22022,45270.32,55000,55000,45738,34640.49
Marketing,11/10/2024,118888,119667.32,123963,126552.14,16954,7423.52,55000,55000,30712,16090.88
Marketing,17/4/2023,151293,134598.01,168012,180172.99,19043,13187.76,55000,55000,17175,22323.61
Marketing,22/8/2022,125945,134681.2,188186,175112.24,17910,11414.47,55000,55000,43258,25641.14
Marketing,27/12/2021,330229,298713.09,78016,77220.89,10126,17527.36,55000,55000,6990,35345.34
Marketing,7/2/2022,384821,372064.33,248713,244061.45,6531,34639.46,55000,55000,24097,6063.73
Marketing,22/1/2024,104000,88975.21,148142,134277.47,6342,6020.29,55000,55000,39072,17627.8
Marketing,29/1/2024,301660,280816.06,190932,188127.58,15568,18204.4,55000,55000,28752,4278.51
Marketing,3/5/2021,172991,160677.95,218152,198008.53,11981,15481.33,55000,55000,49409,17002.57
Marketing,4/11/2024,445186,447039.12,87626,92733.53,26526,36787.09,55000,55000,33769,61120.85
Marketing,20/9/2021,319963,333423.32,173961,183657.87,22660,31998.5,55000,55000,41980,14686.23
Marketing,10/12/2022,120056,104332.59,212993,193289.74,23117,9841.72,55000,55000,20708,28445.2
Marketing,6/9/2025,373318,383255.33,273777,307601.52,23755,34182.39,55000,55000,10895,2543.91
Marketing,3/4/2022,351451,319000.63,274117,269799.87,13152,21812.22,55000,55000,36195,6216.38
Marketing,23/4/2023,178781,191334.59,226517,242175.75,29579,14233.9,55000,55000,46124,22955.54
Marketing,13/2/2022,155609,156130.73,86395,94461.55,13172,15010.07,55000,55000,15395,1858.3
Marketing,2/1/2022,218834,237979.85,73960,77527.66,10122,20168.21,55000,55000,10299,19972.94
Marketing,31/1/2021,224019,243299.56,269930,308790.83,5666,14297.53,55000,55000,12783,30923.21
Marketing,21/3/2021,354079,321327.47,223420,213838.34,26508,26749.09,55000,55000,44915,5304.15
Marketing,5/5/2024,200386,184017.45,215888,244333.11,24019,12715.05,55000,55000,45809,30502.25
Marketing,26/9/2021,348710,332823.36,80355,85006.76,27195,24911.22,55000,55000,37409,31630.57
Marketing,24/4/2025,159163,174548.59,264323,280312.66,23588,13164.11,55000,55000,29354,37270.76
Marketing,16/11/2023,262049,260880.95,125880,125038.23,17977,22663.17,55000,55000,29557,14338.21
Marketing,5/10/2023,109540,95916.23,70309,68983.43,6828,7957.95,55000,55000,6279,7344.45
Marketing,17/10/2024,266807,235540.21,156884,172807.43,12804,13207.93,55000,55000,29762,1072.73
Marketing,16/8/2022,263852.5,414360.93,205576,187040.42,19369,21915.15,55000,55000,38536,27785.03
Marketing,5/12/2023,453151,390360.36,181456,190685.24,27422,20331.39,55000,55000,33529,22221.94
Marketing,14/12/2021,242038,228987.71,280590,283768.05,20034,12375.86,55000,55000,9971,21490.9
Marketing,3/1/2023,473632,472733.02,177016,189116.48,16613,33425.29,55000,55000,15682,34177.34
Marketing,5/3/2024,431593,474442.04,250244,273071.46,14310,26056.25,55000,55000,36889,29880.32
Marketing,22/3/2022,457429,458313.76,178148,167893.71,8086,32051.33,55000,55000,42011,42915.38
Marketing,6/5/2025,295967,288485.56,103413,107205.6,6120,22574.31,55000,55000,39020,20872.37
Marketing,30/4/2025,151934,134556.38,144456,151934.99,15789,8729.67,55000,55000,33145,17796.38
Marketing,28/12/2022,214548,208143.02,284340,270254.75,11767,14234.48,55000,55000,35678,22661.38
Marketing,26/1/2022,226141,241921.02,292804,282419.23,27890,22044.82,55000,55000,33734,23308.42
Marketing,24/7/2024,182745,165069.2,188311,203194.66,20524,13060.46,55000,55000,29027,21871.71
Marketing,20/10/2021,358067,314246.23,206542,232826.15,18013,30334.11,55000,55000,39393,728.88
Marketing,4/9/2024,468035,270848.505,99922,103048.64,19060,25688.63,55000,55000,26172,55605.95
Operations,18/4/2025,300968,274034.75,125745,113913.61,5419,21790.53,52000,52000,18350,15360.6
Operations,12/12/2025,303664,306972.24,187162,199771.43,16397,26431.4,52000,52000,27297,5192.16
Operations,12/9/2025,297459,386572.47,123477,117052.1,7891,30041.06,52000,52000,17254,46434.88
Operations,2/8/2021,467654,514177.87,275318,281283.38,27877,27962.09,52000,52000,39622,38207.83
Operations,23/12/2024,406955,395925.96,51252,51393.31,17790,28913.28,52000,52000,13942,48715.32
Operations,27/2/2023,167215,177690.26,105284,119618.79,22447,15639.32,52000,52000,40822,1955.23
Operations,25/1/2021,215294,235265.65$,143105,136637.15,8266,23028.1,52000,52000,15380,4379.04
Operations,11/3/2024,182986,175034.4,60916,67205.36,12984,14530.5,52000,52000,31665,6775.9
Operations,28/3/2022,213632,208968.87,70559,72671.78,18503,11977.82,52000,52000,29917,11826.76
Operations,16/5/2022,311810,340582.47,63843,60134.03,11229,24394.18,52000,52000,31838,35647.85
Operations,19/5/2025,105486,108188.15,147239,146904.25,22334,10133.57,52000,52000,46131,17271.96
Operations,3/10/2022,320552,324978.98,175899,201695.91,7472,27495.84,52000,52000,30522,8401.86
Operations,3/12/2022,105237,107427.48,155787,145647.26,22844,6073.47,52000,52000,24846,20303.69
Operations,6/12/2025,331915,319660.56,252846,248610.95,15789,23153.18,52000,52000,17182,913.73
Operations,23/12/2023,297459,324890.51,228998,232633,12041,17415.5,52000,52000,7573,4875.82
Operations,20/11/2021,170031,146315.64,289564,322457.39,20745,13666.3,52000,52000,13666,42874.28
Operations,16/9/2023,297459,347963.24,73833,68668.55,17941,33087.16,52000,52000,19596,30397.45
Operations,29/12/2024,267280,231478.44,89764,99634.93,25417,21319.15,52000,52000,6762,11414.3
Operations,15/1/2023,129375,121218.2,70159,64790.1,24901,10507.28,52000,52000,36480,1253.05
Operations,9/5/2021,104014,102440.56,182396,175906.48,11376,7887.7,52000,52000,25530,20783.84
Operations,22/5/2022,303687,325232.52,291080,264640.58,29025,21332.26,52000,52000,7482,3065.65
Operations,17/8/2023,226131,236298.15,189487,208807.38,17819,19945.16,52000,52000,20358,7729.71
Operations,9/2/2023,352764,377336.66,155616,146946.24,18046,27948.27,52000,52000,44986,33440.5
Operations,7/1/2021,365564,374467.34,231415,222569.35,14911,27433.58,52000,52000,29938,15910.42
Operations,11/5/2023,326507,344939.69,99407,99254.52,5117,25083.62,52000,52000,22327,26340.17
Operations,14/10/2021,432460,393406.39,194188,209520.35,5055,23771.79,52000,52000,30150,18211.59
Operations,9/8/2022,203481,202467.98,222502,252350.96,25590,20194.83,52000,52000,23449,31116.59
Operations,12/8/2025,184076,165675.31,69963,73083.12,12863,14356.36,52000,52000,6341,5108.26
Operations,21/2/2023,316139,320758.73,128752,142854.05,7590,20204.8,52000,52000,25059,23336.79
Operations,19/1/2021,231373,250137.13,243928,272698.31,23271,19539.42,52000,52000,15457,19945.46
Operations,11/6/2024,214585,306972.24,251152,242159.29,10951,16577.13,52000,52000,9263,20396.8
Operations,24/6/2025,242202,227102.34,297940,298261.68,18946,14156.18,52000,52000,31212,31116.59
Operations,15/11/2022,492942,480110.19,111529,114752.08,22260,38982.45,52000,52000,21438,56667.64
Operations,14/4/2021,465890,435592.59,272864,259189.59,8900,30476.58,52000,52000,5126,16623.29
Operations,16/3/2022,284078,287603.88,284286,261080.92,6906,21607.19,52000,52000,24816,7810.84
Sales,20/8/2021,250262,237869.71,136188,136927.53,25527,15527.23,50000,50000,7708,6804.09
Sales,16/2/2024,351492,358811.41,100612,105143.88,23378,29805.94,50000,50000,16372,40982.29
Sales,10/1/2025,171180,157014.57,218513,215968.49,8687,13946.41,50000,50000,20850,26437.67
Sales,17/1/2025,274358,287908.48,273306,262159.94,9018,23841.15,50000,50000,17112,10200.1
Sales,27/1/2023,116964,115961.97,228677,231178.17,18918,5862.06,50000,50000,8300,27625.18
Sales,6/6/2025,226020,210563.7,120390,138080.87,7243,12213.45,50000,50000,25581,2211.16
Sales,4/3/2022,170313,154630.23,203772,206512.2,28333,13644.65,50000,50000,32696,25756.75
Sales,5/5/2023,260196,223069.11,106178,113049.99,13837,17265.1,50000,50000,5822,8745.04
Sales,17/5/2024,193008,171345.65,103932,117818.25,23944,9607.23,50000,50000,45760,1219.13
Sales,21/5/2021,118070,109768.28,216981,242382.56,23777,8347.65,50000,50000,49327,43632.83
Sales,24/5/2024,456441,437308.68,198172,195775.24,10415,35312.96,50000,50000,20646,38541.57
Sales,10/11/2023,466326,404228.93,68017,65254.56,25128,23246.58,50000,50000,7106,60469.33
Sales,29/11/2024,170640,150384.43,69198,77574.53,24096,13884.35,50000,50000,34077,2076.06
Sales,22/9/2023,291232,293607.13,185230,191920.93,17607,21455.01,50000,50000,38572,5937.2
Sales,17/7/2023,123049,134775.14,218964,237491.05,18746,12028.79,50000,50000,47880,33268.31
Sales,23/10/2023,127663,110678.62,267776,287555.76,11988,8931.4,50000,50000,22771,50858.72
Sales,9/4/2022,103051,92141.2,143396,158771.04,10750,4921.13,50000,50000,26566,26218
Sales,12/4/2025,295004,258492.11,242958,224475.85,5922,19932.81,50000,50000,23023,8393.85
Sales,5/8/2023,459523,463429.6,77712,76294.4,14333,41405.2,50000,50000,24978,70371.37
Sales,19/7/2025,289407,373328.57,105479,121070.27,27412,26160.89,50000,50000,26520,42390.08
Sales,4/11/2023,288751,296559.7,201456,203908.41,19594,22514.93,50000,50000,24063,3786.48
Sales,5/10/2024,138756,144341.76,165765,189093.39,11943,14023.35,50000,50000,11819,21441.37
Sales,28/8/2022,452996,415125.54,128859,130540.58,12943,41173.79,50000,50000,33865,29433.76
Sales,17/12/2023,289407,319223.15,222015,234197.54,7219,27394.51,50000,50000,32856,1585.43
Sales,10/7/2022,186672,196744.5,288964,274937.77,14795,11332.73,50000,50000,47460,21397.9
Sales,13/7/2025,218324,207239.87,295897,317529.74,18429,11389.68,50000,50000,40772,30220.53
Sales,23/7/2023,310677,313147.93,51015,57117.87,27700,29625.12,50000,50000,28236,30074.95
Sales,25/5/2025,239407,236991.9,92318,96806.42,7336,19389.39,50000,50000,14650,10854.38
Sales,10/11/2024,185999,195137.93,223880,254742.05,9670,12546.46,50000,50000,28150,22417.17
Sales,27/11/2022,238877,216194.63,134665,143649.32,8812,15415.58,50000,50000,31399,1762.47
Sales,10/9/2023,462937,504947.61,112292,124021.86,11233,26217.55,50000,50000,16382,46534.04
Sales,29/9/2024,406569,431449.32,224016,215982.94,14510,34795.08,50000,50000,29063,23708.35
Sales,29/8/2024,107543,117442.16$,224197,211946.78,21984,11321.92,50000,50000,24250,26294.36
Sales,2/12/2021,224046,245762.91,111629,107365.64,11809,21996.15,50000,50000,11783,11943.74
Sales,22/12/2022,287628,280088.3,208427,224302.92,10622,16729.99,50000,50000,15998,1807.23
Sales,22/2/2024,465835,447889.02,73574,76031.42,19231,26541.8,50000,50000,13996,71057.21
Sales,28/7/2022,310706,305810.39,249938,228511.24,21616,22321.11,50000,50000,33071,816.02
Sales,9/6/2022,194476,173759.21,67640,68902.01,9632,9605.97,50000,50000,32965,10224.06
Sales,16/6/2022,333841,316835.31,102528,113912.98,11288,25993.59,50000,50000,7079,24747.8
Sales,27/5/2021,397921,400496.68,270411,292528.53,23977,32512.03,50000,50000,8368,5619.9
Sales,3/11/2022,325913,298190.33,59337,66278.22,15167,24082.14,50000,50000,39249,33999.33
Sales,18/9/2025,488318,529362.62,64388,63154.51,8756,26606.55,50000,50000,16344,62753.93
Sales,20/4/2021,136631,140892.75,238926,255664.45,28061,8118.35,50000,50000,32632,40197.79
Sales,16/1/2024,453824,388539.93,241172,245946.11,13512,33754.57,50000,50000,46196,11962.19
Sales,10/5/2022,289407,250180.97,211426,199112.65,22680,24590.56,50000,50000,46949,4143.93
Sales,10/9/2024,160692,171483.4,144074,155205.38,22449,11765.19,50000,50000,16555,10548.76
Sales,27/9/2022,494366,520260.41,271541,254457.22,20913,28641.53,50000,50000,43565,29052.32
Sales,23/8/2023,296489,259945.3,292926,319456.68,9208,18684.91,50000,50000,39177,25014.16
Sales,11/12/2024,319798,306231.04,65254,62187.79,6248,19173.75,50000,50000,26792,30425.09
Sales,31/12/2025,383821,334080.68,74071,76992.79,5814,23244.09,50000,50000,21774,43621.61
Sales,5/7/2023,388790,358370.89,106570,116757.71,18703,24986.99,50000,50000,36419,30496.18
Sales,21/7/2021,493002,534792.26,236201,238481.25,15453,33775.14,50000,50000,24256,44594.81
Sales,18/6/2025,320184,279189.76,93088,99956.6,9612,14089.75,50000,50000,28051,27302.86
Sales,12/11/2025,303339,263913.64,198216,222005.84,10779,17228.34,50000,50000,42641,5707.15
Sales,8/9/2021,372791,398297.09,190507,214909.2,18568,31875.6,50000,50000,36880,16428.1
